iter	Passed	Remaining
398	2000	3013
399	2001	3002
400	2002	2991
401	2003	2979
402	2004	2968
403	2004	2957
404	2005	2946
405	2006	2935
406	2007	2925
407	2008	2914
408	2009	2903
409	2010	2893
410	2011	2882
411	2012	2871
412	2013	2861
413	2013	2850
414	2015	2840
415	2016	2830
416	2016	2819
417	2018	2809
418	2019	2799
419	2019	2789
420	2020	2779
421	2021	2768
422	2022	2758
423	2023	2748
424	2024	2738
425	2025	2728
426	2025	2718
427	2026	2708
428	2027	2698
429	2028	2689
430	2029	2679
431	2030	2669
432	2031	2659
433	2032	2650
434	2033	2640
435	2033	2630
436	2034	2621
437	2035	2612
438	2036	2602
439	2037	2593
440	2038	2583
441	2039	2574
442	2040	2565
443	2041	2555
444	2042	2546
445	2042	2537
446	2044	2528
447	2044	2519
448	2045	2510
449	2046	2501
450	2047	2492
451	2048	2483
452	2049	2474
453	2050	2465
454	2051	2456
455	2052	2448
456	2053	2439
457	2054	2430
458	2054	2421
459	2055	2413
460	2056	2404
461	2057	2396
462	2058	2387
463	2059	2379
464	2061	2371
465	2062	2363
466	2063	2354
467	2064	2346
468	2065	2338
469	2065	2329
470	2066	2321
471	2067	2312
472	2068	2304
473	2069	2296
474	2070	2288
475	2071	2280
476	2072	2271
477	2072	2263
478	2073	2255
479	2074	2247
480	2075	2239
481	2076	2231
482	2077	2223
483	2077	2215
484	2079	2207
485	2079	2199
486	2080	2191
487	2081	2184
488	2082	2176
489	2083	2168
490	2084	2160
491	2085	2153
492	2086	2145
493	2087	2138
494	2088	2130
495	2089	2123
496	2090	2115
497	2091	2107
498	2091	2100
499	2092	2092
500	2093	2085
501	2094	2077
502	2095	2070
503	2097	2063
504	2097	2056
505	2098	2049
506	2099	2041
507	2100	2034
508	2101	2027
509	2102	2020
510	2104	2013
511	2105	2006
512	2106	1999
513	2107	1992
514	2108	1985
515	2108	1978
516	2109	1971
517	2110	1963
518	2111	1956
519	2112	1949
520	2113	1942
521	2114	1935
522	2115	1929
523	2116	1922
524	2117	1915
525	2118	1908
526	2119	1901
527	2119	1895
528	2120	1888
529	2121	1881
530	2122	1874
531	2123	1868
532	2124	1861
533	2125	1854
534	2126	1848
535	2127	1841
536	2128	1834
537	2129	1828
538	2129	1821
539	2131	1815
540	2132	1808
541	2133	1802
542	2133	1795
543	2134	1789
544	2135	1782
545	2136	1776
546	2137	1770
547	2138	1763
548	2138	1757
549	2139	1750
550	2140	1744
551	2141	1738
552	2142	1732
553	2143	1725
554	2144	1719
555	2145	1713
556	2146	1707
557	2147	1700
558	2148	1694
559	2149	1688
560	2149	1682
561	2150	1676
562	2151	1670
563	2152	1664
564	2153	1657
565	2154	1651
566	2155	1645
567	2155	1639
568	2156	1633
569	2157	1627
570	2158	1622
571	2159	1616
572	2160	1610
573	2161	1604
574	2162	1598
575	2163	1592
576	2164	1586
577	2164	1580
578	2165	1574
579	2166	1568
580	2167	1563
581	2168	1557
582	2169	1551
583	2170	1545
584	2171	1540
585	2172	1534
586	2173	1529
587	2174	1523
588	2175	1517
589	2176	1512
590	2177	1506
591	2178	1501
592	2178	1495
593	2179	1489
594	2180	1484
595	2181	1478
596	2182	1473
597	2183	1467
598	2184	1462
599	2185	1456
600	2185	1451
601	2186	1445
602	2187	1440
603	2188	1434
604	2189	1429
605	2190	1424
606	2191	1418
607	2192	1413
608	2193	1408
609	2194	1402
610	2195	1397
611	2195	1392
612	2196	1387
613	2197	1381
614	2198	1376
615	2199	1371
616	2200	1365
617	2201	1360
618	2203	1356
619	2203	1350
620	2204	1345
621	2205	1340
622	2206	1335
623	2207	1330
624	2208	1325
625	2209	1319
626	2209	1314
627	2210	1309
628	2211	1304
629	2212	1299
630	2213	1294
631	2214	1289
632	2215	1284
633	2216	1279
634	2217	1274
635	2218	1269
636	2219	1264
637	2220	1259
638	2221	1254
639	2222	1249
640	2222	1245
641	2223	1240
642	2224	1235
643	2225	1230
644	2226	1225
645	2227	1220
646	2228	1215
647	2229	1211
648	2230	1206
649	2231	1201
650	2232	1196
651	2233	1191
652	2233	1187
653	2234	1182
654	2235	1177
655	2236	1172
656	2237	1168
657	2238	1163
658	2239	1158
659	2240	1154
660	2241	1149
661	2242	1144
662	2243	1140
663	2244	1135
664	2244	1130
665	2245	1126
666	2246	1121
667	2247	1117
668	2248	1112
669	2249	1108
670	2250	1103
671	2251	1098
672	2252	1094
673	2253	1089
674	2253	1085
675	2254	1080
676	2255	1076
677	2256	1071
678	2257	1067
679	2258	1062
680	2259	1058
681	2260	1053
682	2261	1049
683	2262	1045
684	2262	1040
685	2263	1036
686	2264	1031
687	2265	1027
688	2266	1023
689	2267	1018
690	2268	1014
691	2269	1010
692	2270	1005
693	2270	1001
694	2271	997
695	2273	992
696	2274	988
697	2275	984
698	2275	980
699	2276	975
700	2277	971
701	2278	967
702	2279	963
703	2280	958
704	2281	954
705	2282	950
706	2283	946
707	2283	941
708	2284	937
709	2285	933
